,Unnamed: 0,Unvan,Link,Tarix,Qiymet,rooms,floor,area
1503,1503,Nərimanov r.,https://bina.az//items/3631016,dünən 18:17,195 000AZN,3 otaq,6/20,58 m²
1504,1504,Nərimanov r.,https://bina.az//items/3312650,dünən 18:17,800 000AZN,2 otaq,7/9,208 m²
1505,1505,Xırdalan,https://bina.az//items/3631011,dünən 18:15,78 000AZN,3 otaq,5/6,80 m²
1506,1506,Şağan q.,https://bina.az//items/3631010,dünən 18:15,175 000AZN,6 otaq,6/12,200 m²
1507,1507,Binə q.,https://bina.az//items/3631009,dünən 18:15,47 000AZN,3 otaq,11/17,120 m²
1508,1508,Həzi Aslanov q.,https://bina.az//items/3570573,dünən 18:15,160 000AZN,2 otaq,1/7,84 m²
1509,1509,Əhmədli m.,https://bina.az//items/3631012,dünən 18:15,165 000AZN,4 otaq,5/17,84 m²
1510,1510,Nəsimi m.,https://bina.az//items/3631005,dünən 18:13,229 999AZN,5 otaq,4/5,120 m²
1511,1511,Bilgəh q.,https://bina.az//items/3631006,dünən 18:12,350 000AZN,3 otaq,15/17,200 m²
1512,1512,Əhmədli m.,https://bina.az//items/3631004,dünən 18:11,195 000AZN,2 otaq,5/9,157 m²
1513,1513,Memar Əcəmi m.,https://bina.az//items/3631003,dünən 18:11,103 000AZN,4 otaq,5/17,53 m²
1514,1514,Yeni Yasamal q.,https://bina.az//items/3630999,dünən 18:11,130 000AZN,4 otaq,13/16,40 m²
1515,1515,Masazır q.,https://bina.az//items/3631001,dünən 18:11,65 000AZN,3 otaq,7/14,100 m²
1516,1516,Yeni Günəşli q.,https://bina.az//items/3583087,dünən 18:11,105 000AZN,7 sot,6/9,222 m²
1517,1517,Həzi Aslanov m.,https://bina.az//items/3630998,dünən 18:10,179 000AZN,3 otaq,4/14,92 m²
1518,1518,Zabrat q.,https://bina.az//items/3630997,dünən 18:10,72 000AZN,3 otaq,14/21,70 m²
1519,1519,Bilgəh q.,https://bina.az//items/3630996,dünən 18:10,150 000AZN,2 otaq,14/20,93 m²
1520,1520,İçəri Şəhər m.,https://bina.az//items/3610704,dünən 18:07,850 000AZN,7 otaq,2/2,230 m²
1521,1521,Nərimanov r.,https://bina.az//items/3610756,dünən 18:07,275 000AZN,4 otaq,3/15,160 m²
1522,1522,Gənclik m.,https://bina.az//items/3604947,dünən 18:06,520 000AZN,0 otaq,12/13,300 m²
1523,1523,Nizami m.,https://bina.az//items/3396348,dünən 18:06,1 100 000AZN,8 otaq,4/5,800 m²
1524,1524,Nizami m.,https://bina.az//items/3630980,dünən 18:06,130 000AZN,2 otaq,11/16,60 m²
1525,1525,20 Yanvar m.,https://bina.az//items/3630979,dünən 18:06,250 000AZN,3 otaq,2/3,131 m²
1526,1526,İçəri Şəhər m.,https://bina.az//items/3435238,dünən 18:06,350 000AZN,3 otaq,9/9,103 m²
1527,1527,Hövsan q.,https://bina.az//items/3630978,dünən 18:05,69 000AZN,2 otaq,16/24,52 m²
1528,1528,Şah İsmayıl Xətai m.,https://bina.az//items/3627772,dünən 18:05,295 000AZN,3 otaq,6/8,160 m²
1529,1529,Memar Əcəmi m.,https://bina.az//items/3630976,dünən 18:05,149 000AZN,2 otaq,13/20,65 m²
1530,1530,Şah İsmayıl Xətai m.,https://bina.az//items/3630975,dünən 18:05,249 000AZN,2 otaq,2/5,82 m²
1531,1531,İnşaatçılar m.,https://bina.az//items/3575451,dünən 18:04,92 000AZN,2 otaq,10/14,40 m²
1532,1532,Qara Qarayev m.,https://bina.az//items/3610129,dünən 18:04,130 000AZN,2 otaq,1/5,51 m²
1533,1533,Memar Əcəmi m.,https://bina.az//items/3630973,dünən 18:04,91 500AZN,2 otaq,2/16,58 m²
1534,1534,Xırdalan,https://bina.az//items/3630971,dünən 18:04,107 000AZN,3 otaq,11/16,97 m²
1535,1535,20 Yanvar m.,https://bina.az//items/3630972,dünən 18:03,240 000AZN,3 otaq,4/5,135 m²
1536,1536,Nizami m.,https://bina.az//items/3542848,dünən 18:03,99 000AZN,1 otaq,5/6,40 m²
1537,1537,Novxanı q.,https://bina.az//items/3552671,dünən 18:03,105 000AZN,6 sot,12/17,180 m²
1538,1538,Bayıl q.,https://bina.az//items/3630968,dünən 18:03,165 000AZN,3 otaq,14/16,330 m²
1539,1539,Elmlər Akademiyası m.,https://bina.az//items/3625919,dünən 18:00,263 000AZN,3 otaq,9/12,110 m²
1540,1540,Memar Əcəmi m.,https://bina.az//items/3630958,dünən 17:59,95 000AZN,3 otaq,1/5,55 m²
1541,1541,Şüvəlan q.,https://bina.az//items/3521055,dünən 17:59,195 000AZN,4 otaq,12/18,145 m²
1542,1542,Nəsimi r.,https://bina.az//items/3435868,bugün 12:39,320 000AZN,4 otaq,17/23,160 m²
1543,1543,Nizami m.,https://bina.az//items/3506040,dünən 18:00,595 000AZN,2 otaq,8/16,215 m²
1544,1544,Buzovna q.,https://bina.az//items/3554736,dünən 17:58,370 000AZN,3 otaq,4/17,250 m²
1545,1545,Xırdalan,https://bina.az//items/3630960,dünən 17:58,32 000AZN,2 otaq,1/9,50 m²
1546,1546,Nəsimi r.,https://bina.az//items/3253928,dünən 17:58,350 000AZN,2 otaq,18/19,135 m²
1547,1547,Dərnəgül m.,https://bina.az//items/3616636,dünən 17:58,119 000AZN,3 otaq,4/19,50 m²
1548,1548,Xırdalan,https://bina.az//items/3630957,dünən 17:57,78 000AZN,2 otaq,3/9,58 m²
1549,1549,İnşaatçılar m.,https://bina.az//items/3575100,dünən 17:57,165 000AZN,4 otaq,13/19,90 m²
1550,1550,İnşaatçılar m.,https://bina.az//items/3506118,dünən 17:57,164 800AZN,4 otaq,14/16,103 m²
1551,1551,Mərdəkan q.,https://bina.az//items/3630955,dünən 17:56,387 000AZN,2 otaq,5/17,200 m²
1552,1552,Yeni Yasamal q.,https://bina.az//items/3630953,dünən 17:55,180 000AZN,3 otaq,12/20,110 m²
